sample	mean_C3SS_ratio	delta_C3SS_ratio	t_statistic	df	p_value	p_adj
One_92	0.209556225336308	0.178404659288097	5.87770278651044	2.02486407438744	0.0269582833144125	0.0360168462560834
One_93	0.14281354181327	0.111661975765059	12.9334016458289	2.32843373038042	0.00320927821380019	0.00955293253506964
One_94	0.241896928334708	0.210745362286497	10.5114919960894	2.0574395887345	0.00809655477436766	0.0154768758571566
One_95	0.197120469861789	0.165968903813577	7.05953899512801	2.04161428763066	0.0184348004095248	0.0263278615044076
One_96	0.254116784598712	0.222965218550501	7.73318897258159	2.02757407426986	0.0156896996242584	0.0234011777201144
One_97	0.0438912359897314	0.01273966994152	1.87622200277854	2.55238267592421	0.173195985183587	0.185914480855815
One_98	0.0218244628234206	-0.00932710322479079	-1.56799705402297	2.73957575131856	0.2233066117138	0.235100217538568
One_99	0.0225897096511833	-0.00856185639702806	-1.972874648498	3.45872521188919	0.130782479082483	0.143065549292963
Two_1	0.290335101925919	0.259183535877707	7.65943340470096	2.01998143292463	0.0161609504565411	0.0236931928522151
Two_10	0.130846710335429	0.099695144287218	27.4408443759366	3.92567873691922	1.23877548451392e-05	0.000178482559298404
Two_100	0.0704342962292111	0.0392827301809998	5.3244302167051	2.46080881152918	0.0210222474491529	0.0290223805061917
Two_101	0.138574780890641	0.107423214842429	9.79979955178655	2.19839688709214	0.00744105114920857	0.0154768758571566
Two_102	0.122876783554863	0.0917252175066512	5.36112187543728	2.07928395214448	0.0303899952354712	0.0394355812846714
Two_103	0.193092886633718	0.161941320585507	14.3330710503222	2.18626088159465	0.00333672895373949	0.00981274727815697
Two_104	0.219715075071394	0.188563509023182	11.6557504026078	2.08887800924975	0.00620385814980392	0.0144080257030493
Two_105	0.00350907821277549	-0.0276424878354359	-10.9793671474102	2.44896119238311	0.00383567380043334	0.0110192478544241
Two_106	0.0944053743302433	0.0632538082820319	17.2003213602197	3.90223195498383	7.97791703582983e-05	0.000650004060132365
Two_107	0.145948062432553	0.114796496384342	9.3750297164022	2.15758469821336	0.00872285705313224	0.0160565183533582
Two_108	0.0387095990859597	0.00755803303774831	1.77645120242752	3.51572630990184	0.160101082772903	0.172279081525958
Two_109	0.0806110291777115	0.0494594631295002	2.35634698515323	2.05234162689288	0.139360925801357	0.151558818650491
